title,cast,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio
She,", Sandahl Bergman, David Goss, Quin Kessler, Harrison Muller, Elena Wiedermann, Gordon Mitchell",,"Fantasy, 
                        
                        Action, 
                        
                        Adventure",English,Avi Nesher,,,,"Dec 1, 2019",,1h 46m,,,
Screwdriver,", Ziad Bakri, Areen Omari, Jameel Khoury, Yasmine Qaddumi",,,,Bassam Jarbawi,,,,,,,,,
Outlaw Women,", Marie Windsor, Richard Rober, Carla Balenda, Allan Nixon, Jacqueline Fontaine, Jackie Coogan, Marie Hart, Billy House, Richard Avonde, Leonard Penn, Lyle Talbot, Brad Johnson",,Western,English,"Sam Newfield , Ron Ormond",Ron Ormond,Orville H. Hampton,"Apr 28, 1952 limited","Oct 20, 2009",,1h 16m,Howco Productions Inc.,,
Monster From The Ocean Floor,", Anne Kimbell, Stuart Wade, Dick Pinner, Jack Hayes, Wyott Ordung, Inez Palange, David Garcia, Roger Corman",,Sci-fi,English,Wyott Ordung,Roger Corman,Bill Danch,,"Aug 14, 2001",,1h 4m,,,
Massacre,", Dane Clark, James Craig, Marta Roth, Miguel Torruco, Jaime Fernández, Enrique Zambrano, José Muñoz, José Ángel Espinosa",,Western,English,Louis King,Robert L. Lippert Jr.,D.D. Beauchamp,,"Oct 20, 2009",,1h 16m,,,
Man Beast,", Rock Madison, Virginia Maynor, Tom Maruzzi, George Skaff, Lloyd Nelson, George Wells Lewis, Jack Haffner, Wong Sing",,Horror,English,Jerry Warren,Jerry Warren,B. Arthur Cassidy,"Dec 5, 1956 limited",,,1h 9m,,,
Loan Shark,", George Raft, Dorothy Hart, Paul Stewart, John Hoyt, Helen Westcott, Henry Slate, Russell Johnson, Margia Dean",,"Crime, 
                        
                        Drama",English,Seymour Friedman,Bernard Luber,Martin Rackin,"Apr 25, 1952 limited",,,1h 14m,,,
House Of The Black Death,", Lon Chaney Jr., John Carradine, Andrea King, Tom Drake, Dolores Faith, Jerome Thor, Sherwood Keith, Catherine Petty",,Horror,English,Harold Daniels,"Richard Shotwell , William White",Richard Mahoney,,,,1h 29m,,,
Gasoline Alley,", Bruce Willis, Devon Sawa, Luke Wilson, Kat Foster, Kenny Wormald, Sufe Bradshaw, Steve Eastin, Eric Buarque, Johnny Dowers, Rick Salomon, The D.O.C.",R (Violent Content|Drug Use|Some Sexual Content|Language Throughout),"Action, 
                        
                        Mystery & thriller",English,Edward Drake,"Tom Sierchio , Corey Large","Edward Drake , Tom Sierchio","Feb 25, 2022 limited","Feb 25, 2022",,1h 37m,Saban Films,,Scope (2.35:1)
Creature Of The Walking Dead,", Rock Madison, Ann Wells, George Todd, Willard Gross, Bruno VeSota, Lloyd Nelson, Chuck Niles, Katherine Victor",,Horror,English,Fernando Cortés,"Alfredo Ripstein , Jerry Warren",José María Fernández Unsaín,,,,1h 14m,,,
Bride And The Beast,", Charlotte Austin, Lance Fuller, Johnny Roth, William Justine, Jeanne Gerson, Gil Frye, Bhogwan Singh, Eve Brent",,Horror,English,Adrian Weiss,Adrian Weiss,Edward D. Wood Jr.,,,,1h 18m,,,
Last Days,", Michael Pitt, Lukas Haas, Asia Argento, Scott Patrick Green, Nicole Vicius, Ricky Jay, Ryan Orion, Harmony Korine, Kim Gordon, Adam Friberg, Andy Friberg, Thadeus A. Thomas, Chip Marks, Giovanni Morassutti",R (Some Sexual Content|Language),Drama,English,Gus Van Sant,"Gus Van Sant , Dany Wolf",Gus Van Sant,"May 13, 2005 original","Oct 25, 2005",$454.7K,1h 36m,Picturehouse,,
Apex Predators,", Mel Novak, Brinke Stevens, Julie Anne Prescott, Dawna Lee Heising, Maria Olsen, Shawn C. Phillips, Shane Ryan-Reid, Sheri Davis",,Horror,English,Dustin Ferguson,,Dustin Ferguson,,"May 11, 2021",,1h 15m,,,
Some Kind of a Nut,", Dick Van Dyke, Angie Dickinson, Rosemary Forsyth, Zohra Lampert, Elliott Reid, Pippa Scott",PG,Comedy,English,Garson Kanin,,,,"Jan 2, 2020",,1h 30m,,,
Hellgate,", Ron Palillo, Abigail Wolcott, Carel Trichardt, Petrea Curran, Evan J. Klisser, Joanne Ward, Frank Notard, Lance Vaughan, Victor Mellaney",R,Horror,English,William A. Levey,"Anant Singh , Shan Moodley",,,,,1h 36m,,,
Colorful Colorado,,,Documentary,,,,,,,,9m,,,
God Raiga Vs King Ohga,,,"Sci-fi, 
                        
                        Action",Japanese,Shinpei Hayashiya,,,,"Apr 13, 2021",,1h 24m,,,
Track Of The Vampire,", William Campbell, Marissa Mathes, Lori Saunders, Sandra Knight, Karl Schanzer, Biff Elliot, Sid Haig, Jonathan Haze, Fred Thompson, David Ackles",,Horror,English,"Jack Hill , Stephanie Rothman",Jack Hill,"Jack Hill , Stephanie Rothman","Mar 2, 1966 limited","Jan 1, 2020",,1h 20m,,,
Evil Everywhere,", Dylan Mars Greenberg, Corrinne Mica, Brian Harmony, Mykee Morettini, Jessica Rabid, Lewis Gabanski, Margaret Morettini, Glenn Ohman, John Davies",,"Horror, 
                        
                        Comedy",English,Mykee Morettini,,Mykee Morettini,,"May 25, 2021",,1h 10m,,,
Konga,", Michael Gough, Margo Johns, Jess Conrad, Claire Gordon, Austin Trevor, Jack Watson, George Pastell, Vanda Godsell",,"Sci-fi, 
                        
                        Mystery & thriller",English (United Kingdom),John Lemont,,Aben Kandel,"Mar 22, 1961 limited","Dec 6, 2005",,1h 30m,,,
The Witch of Kings Cross,", Kate Laxton, Damien Grima, Karlee Misipeka, Lukas Rose, Romeo Angelo Recupido, Graham Yates",,"Documentary, 
                        
                        Drama",English (Australia),Sonia Bible,Sonia Bible,Sonia Bible,,"Mar 20, 2021",,1h 18m,,,
Lust,", Magdalena Delis, Sondre Krogtoft Larsen, Damian Gallagher, Jimmi Salomonsen, Reinert Horneland, Torill B. Falk",,"Horror, 
                        
                        Mystery & thriller",Norwegian,Severin Eskeland,"Severin Eskeland , Reinert Horneland , Jimmi Salomonsen",Severin Eskeland,,,,1h 24m,,,
Crucifixion Quake,", Richard Carrier, Robert Eisenmann, Colin Humphreys, James D. Tabor",,Documentary,English,Marco Bazzi,"Marco Bazzi , Jefferson Boone Williams","Marco Bazzi , Jefferson Boone Williams",,"Dec 15, 2020",,1h 42m,,,
Crossing Arizona,,,Documentary,English,Joseph Mathew,Dan DeVivo,,,"Apr 21, 2009",,1h 37m,,,
Fritz the Cat,", Skip Hinnant, Rosetta Lenoire, John McCurry",,Animation,English,Ralph Bakshi,Steve Krantz,"Ralph Bakshi , Robert Crumb","Jan 1, 1972 wide","Dec 11, 2001",,1h 18m,,Mono,IMAX (Flat (1.85:1))
Writing Kim,", Destee Klyne, Alison Lynne Ward, Steve Johnston, Jett Klyne, Thomas Nicholson, Erin Keller, Scott Hilder, Tijana Popovic",,"Comedy, 
                        
                        Drama, 
                        
                        Lgbtq+",English,"Alison Lynne Ward , Luvia Petersen",Jeff Gant,Alison Lynne Ward,,,,1h 18m,,,
War Of The God Monsters,", Nam Hye-Gyeong, Da-hye Kim, Ki-Ju Kim, Moon Tai-sun",,Sci-fi,Korean,Jeong-yong Kim,Kim Yong-Deok,Lee Mun-ung,,,,1h 25m,,,
Mask Of Thorn,", Eve Kathryn Oliver, Sophie Bryant, Maria Lee Metheringham, Atticus Machiavellian, Mj Dixon",,Horror,English (United Kingdom),Mj Dixon,,Mj Dixon,,"Nov 2, 2021",,1h 42m,,,
Higher Ed,", Pras Michel, Hill Harper, Aries Spears, Leila Arcieri, Jean-Claude La Marre, Erik Gavica, Clay Chappell, Brendan Connor",,Comedy,English,Jean-Claude La Marre,"Jean-Claude La Marre , Patrick McIntire , Darryl Taja",Jean-Claude La Marre,,"Oct 12, 2021",,1h 23m,,,
Hellbox,", Erez Bowers, Russell Cate, Danielle Chau, Gregory Cooke, Terry Cooke, Patrick Gorny, Jackson Hay-Inkol, Sheldon Inkol, Lindsay Leighton, Rachel MacMillan, Erin Moore, Christopher Mott, Drew Mutton, Bret Ootes, R.J. Parrish, Kerry Prunskus",,Horror,English,"Robin Sen , Sheldon Inkol , David Scott","Sheldon Inkol , David Scott","David Scott , Sheldon Inkol",,,,1h 58m,,,
Ashes That Swarm,", Robin Antoinette, Meki Mac, Jaan Marion, Scott Oakley",,Drama,English,Jerard McKinzie,"Marlon DeWayne Carter , Jerard McKinzie",Marlon DeWayne Carter,,,,55m,,,
Otra forma de entender la vida,", Luis Suárez, João Félix, Diego Simeone, Oblak, Koke",,Documentary,Spanish (Spain),Javier Jiménez Vaquerizo,,,,,,1h 10m,,,
Borealis,", Stan Boutin, Diana Beresford-Kroeger, Roger Brett",,Documentary,English,Kevin McMahon,"Justine Pimlott , Michael McMahon , Kevin McMahon , Kristina McLaughlin",Kevin McMahon,,"Mar 25, 2021",,1h 33m,,,
In My Mind,", Chris Rodley",,Documentary,English (United Kingdom),Chris Rodley,,Chris Rodley,,"May 1, 2020",,1h 18m,,,
Strike Commando,", Reb Brown, Chris Connelly, Louise Kamsteeg",,Action,English,Bruno Mattei,,,,"Apr 29, 2017",,1h 42m,,,
Reel Injun,,,Documentary,English,Neil Diamond,,"Neil Diamond , Catherine Bainbridge , Jeremiah Hayes",,"Nov 22, 2011",,1h 26m,,,
Two Worlds Colliding,", Andrea Menard",,Documentary,English,Tasha Hubbard,Bonnie Thompson,Tasha Hubbard,,"May 10, 2018",,49m,,,
The Boss and the Worker,", Renato Pozzetto, Teo Teocoli, Gianfranco Barra, Gillian Bray, Francesca Romana Coluzzi",,Comedy,Italian,Steno,,,,"Jan 1, 2020",,1h 30m,,,
High Wire,", Philippe Petit, Mark Pollard",,"Documentary, 
                        
                        Biography",English,Sandi Sissel,"Barry Alexander Brown , Sandi Sissel",,,"Nov 17, 2016",,30m,,,
Behind The Sightings,", Jason Todd Smith, Jessica Smith",,"Horror, 
                        
                        Mystery & thriller",English,Tony Cadwell,"Tony Cadwell , Norman Alston","Tony Cadwell , Norman Alston",,"Jul 6, 2021",,1h 21m,,,
The Slime People,", Robert Hutton, Les Tremayne, Robert Burton",,Sci-fi,English,Robert Hutton,Joseph F. Robertson,"Blair Robertson , Vance Skarstedt","Sep 18, 1963 original",,,1h 16m,"Rhino Entertainment Company [us], 
                        
                        Westlake Entertainment Group, 
                        
                        Sinister Cinema, 
                        
                        Video Gems, 
                        
                        Donald J. Hansen Enterprises",Mono,
Tainted Blood,", Raquel Welch, Alley Mills, Joan Van Ark, Natasha Gregson Wagner, Lewis Arquette, Tom Ashworth, Charmaine Charles, Mary M. Egan",TVPG (V|L),Mystery & thriller,English,Matthew Patrick,Jonathan Furie,,,,,1h 40m,,,
Sleep Eaters,", Starr Ferris, Pete Haase, Timothy J. Ryan, William McDonough III, Bill Cassinelli, Tony Bennett, Craig Capone, Jason Tripp, Ruth Phelps, Curtis Lusk, Opie Helstrom, Danielle Roussel",,Horror,English,Shane Grant,"Shane Grant , George Quinn",Shane Grant,,,,,,,
Road To The Lemon Grove,", Burt Young, Rossella Brescia, Nick Mancuso, Charly Chiarelli, Loreena McKennitt, Tomaso Sanelli, Tara Shelley, Kenton Blythe",,"Comedy, 
                        
                        Drama",English,Dale Hildebrand,Chris Gunther,Dale Hildebrand,,"Nov 8, 2021",,1h 28m,,,
Night Feeder,", Donnie Evans, Brett Gentile, Mike Monzitta, Michael Ruff, Kate Leahey, Chip Barrett, Jerry Moore, Ginger Curl, Byron Miller, Gina Stewart, Carver Johns, Mark Scarboro, Bob Beaver",R (Horror Violence and Gore),Horror,English,Jet Eller,,Jet Eller,,"Nov 5, 2016",,1h 23m,,Stereo,
THE CHRISTMAS EDITION,", Carly Hughes, Rob Mayes, Marie Osmond, Aloma Wright, Emily Alabi, Langi Tuifua, Rick Macy, James Jamison, Cindy Perez, Anne Sward, Richard Benedict",,"Holiday, 
                        
                        Drama, 
                        
                        Romance",English,Peter Sullivan,Brian Nolan,Anna White,,"Nov 15, 2020",,1h 30m,,Stereo,HDTV
DEAR CHRISTMAS,", Melissa Joan Hart, Jason Priestley",,"Holiday, 
                        
                        Romance",English,Emily Moss Wilson,Paula Hart,Juliet Giglio,,"Nov 28, 2020",,1h 30m,,,
White Night,", Maki Horikita, Kengo Kôra, Eiichiro Funakoshi, Hiroko Satô",,,,Yoshihiro Fukagawa,,,,,,,,,
12 Dates of Christmas,", Amy Smart, Mark-Paul Gosselaar, Peter MacNeill, Mary Long, Jayne Eastwood, Laura Miyata, Benjamin Ayres, Joe MacLeod, Cherisse Woonsam, Paul Beer, Jennifer Kydd, Richard Fitzpatrick, Stephan James, Alexander De Jordy, Martin Roach",TVPG,"Holiday, 
                        
                        Comedy, 
                        
                        Drama",English,James Hayman,Salli Newman,"Aaron Mendelsohn , Janet Brownell",,"Jan 16, 2017",,1h 30m,,,
The Little Matchgirl,,G,"Drama, 
                        
                        Animation",,Roger Allers,,,,"Aug 18, 2015",,7m,,,
Willow,", Val Kilmer, Joanne Whalley, Warwick Davis, Jean Marsh, Patricia Hayes, Billy Barty, Pat Roach, Gavan O'Herlihy, David Steinberg",PG,"Fantasy, 
                        
                        Adventure",English,Ron Howard,Nigel Wooll,"Bob Dolman , George Lucas","May 20, 1988 wide","Feb 1, 2001",$55.6M,2h 6m,Metro-Goldwyn-Mayer,"Dolby Stereo, Dolby A, Stereo, Surround, Dolby Digital, Dolby SR",Scope (2.35:1)
Nona,", Sulem Calderon, Jesy McKinney, Kate Bosworth, Diana Cabuto, Jasper Polish, Giancarlo Ruiz, Chris Arellano, Mildraide Lazarre",,Drama,English,Michael Polish,"Jennifer Sulkess , Michael Polish , Kate Bosworth",Michael Polish,"Dec 7, 2018 limited","Mar 19, 2019",,1h 32m,North of Two,,
Us Again,,G,"Kids & family, 
                        
                        Musical, 
                        
                        Animation",English,Zach Parrish,,,,,,6m,,,
The Last Ice,,,Documentary,English,Scott Ressler,"Neil Gelinas , Scott Ressler",,"May 22, 2020 limited","Mar 28, 2021",,1h 23m,,,
Burrow,,G,"Kids & family, 
                        
                        Comedy, 
                        
                        Animation",English,Madeline Sharafian,Mike Capbarat,,,"Mar 25, 2021",,6m,,Dolby Digital,Flat (1.85:1)
The Real Right Stuff,,,Documentary,English,Tom Jennings,Tom Jennings,,,"Nov 20, 2020",,,,,
Trick or Treat,", Marc Price, Tony Fields, Ozzy Osbourne",R,Horror,English,Charles Martin Smith,,,,"Oct 17, 2006",$6.3M,1h 34m,,Surround,
Artemis Fowl,", Ferdia Shaw, Lara McDonnell, Tamara Smart, Nonso Anozie, Josh Gad, Judi Dench, Colin Farrell, Molly Harris, Nikesh Patel",PG (Some Rude Humor|Fantasy Action/Peril),"Fantasy, 
                        
                        Adventure",English,Kenneth Branagh,"Kenneth Branagh , Judy Hofflund","Conor McPherson , Hamish McColl",,"Jul 8, 2020",,1h 33m,,,Scope (2.35:1)
Mickey and the Seal,", Pinto Colvig, James MacDonald",G,"Comedy, 
                        
                        Animation",English,Charles A. Nichols,Walt Disney,"Nick George , Milt Schaffer","Dec 3, 1948 limited","Nov 18, 2016",,7m,RKO Radio Pictures,,
How to Play Baseball,", George Johnson",,Comedy,English,Jack Kinney,,,,"Mar 25, 2021",,8m,,,
All in a Nutshell,", Clarence Nash, Dessie Flynn, James MacDonald",,"Kids & family, 
                        
                        Comedy, 
                        
                        Animation",English,Jack Hannah,,,,"Mar 25, 2021",,6m,,,
Double Dribble,", Pinto Colvig",,"Comedy, 
                        
                        Animation",English,Jack Hannah,,,,"Mar 25, 2021",,7m,,,
Dragon Around,", Dessie Flynn, James MacDonald, Clarence Nash",,"Comedy, 
                        
                        Animation",English,Jack Hannah,,"Nick George , Roy Williams",,"Mar 25, 2021",,7m,,,
Out of Scale,", Dessie Flynn, James MacDonald, Clarence Nash",,"Comedy, 
                        
                        Animation",English,Jack Hannah,Walt Disney,"Bill Berg , Nick George",,"Mar 25, 2021",,7m,,,
Sea Scouts,", Clarence Nash",TVPG,"Comedy, 
                        
                        Animation",English,Dick Lundy,Walt Disney,"Carl Barks , Chuck Couch","Jun 30, 1939 original","Mar 25, 2021",,8m,RKO Radio Pictures,,
One Day at Disney,", Sterling K. Brown",,"Documentary, 
                        
                        Kids & family",English,Fritz Mitchell,Victoria Chamlee,,,"Dec 3, 2019",,59m,,,
Babes in the Woods,,,"Comedy, 
                        
                        Fantasy, 
                        
                        Adventure, 
                        
                        Animation",English,Burt Gillett,Walt Disney,Ted Sears,"Nov 19, 1932 limited","May 12, 2009",,8m,United Artists,,
Bambi,", Hardie Albright, Stan Alexander, Peter Behn, Tim Davis, Donnie Dunagan, Ann Gillis, Sterling Holloway, Cammie King, Fred Shields, Bobby Stewart, John Sutherland",G,"Kids & family, 
                        
                        Fantasy, 
                        
                        Animation",English,David Hand,Walt Disney,Larry Morey,"Aug 21, 1942 original","Apr 29, 2008",$38.1M,1h 10m,RKO Radio Pictures,Stereo,
Bao,", Sindy Lau, Daniel Kailin",G,"Kids & family, 
                        
                        Fantasy, 
                        
                        Animation, 
                        
                        Short",Chinese,Domee Shi,Becky Neiman-Cobb,,,"Dec 11, 2018",,8m,,Dolby Digital,Flat (1.85:1)
Beach Picnic,", Lee Millar, Clarence Nash",TVPG,"Comedy, 
                        
                        Animation",English,Clyde Geronimi,,"Carl Barks , Jack Hannah","Jun 9, 1939 limited","Mar 25, 2021",,8m,RKO Radio Pictures,,
Beezy Bear,", Clarence Nash, James MacDonald, Bill Thompson",,"Kids & family, 
                        
                        Comedy, 
                        
                        Animation",English,Jack Hannah,,,,"Mar 25, 2021",,8m,,,
Boat Builders,", Pinto Colvig, Walt Disney, Marcellite Garner, Clarence Nash",TVG,"Comedy, 
                        
                        Animation",English,Ben Sharpsteen,Walt Disney,,"Feb 25, 1938 original","Mar 25, 2021",,7m,RKO Radio Pictures,,
Bone Bandit,", Pinto Colvig",,"Kids & family, 
                        
                        Comedy, 
                        
                        Animation",English,Charles A. Nichols,,,,"Mar 25, 2021",,7m,,,
Clock Cleaners,", Pinto Colvig, Walt Disney, Clarence Nash",TVPG,"Comedy, 
                        
                        Animation",English,Ben Sharpsteen,Walt Disney,,"Oct 15, 1937 original","Mar 8, 2017",,9m,Walt Disney,,
Corn Chips,", Clarence Nash, Dessie Flynn, James MacDonald",,"Kids & family, 
                        
                        Comedy, 
                        
                        Animation",English,Jack Hannah,Walt Disney,"Bill Berg , Nick George","Mar 23, 1951 original","Mar 25, 2021",,7m,RKO Radio Pictures,Mono,
Early to Bed,", Clarence Nash",TVPG,"Comedy, 
                        
                        Animation",English,Jack King,Walt Disney,"Carl Barks , Jack Hannah",,"Nov 18, 2016",,7m,,,
Ferdinand the Bull,", Don Wilson, Milt Kahl",,"Comedy, 
                        
                        Animation",English,Dick Rickard,Walt Disney,,"Nov 25, 1938 original","Dec 6, 2005",,8m,RKO Radio Pictures,,
Flowers and Trees,,,"Kids & family, 
                        
                        Comedy, 
                        
                        Musical, 
                        
                        Animation",English,Burt Gillett,Walt Disney,,"Jul 18, 1932 limited","Mar 25, 2021",,8m,,,
Grand Canyonscope,", Clarence Nash, Bill Thompson",,"Comedy, 
                        
                        Animation",English,Charles A. Nichols,,"Milt Schaffer , Nick George",,"Mar 25, 2021",,7m,,,
How to Swim,,,Drama,Hebrew,,,,,,,15m,,,
Into the Grand Canyon,,,Documentary,English,Pete McBride,,,,,,2h 0m,,,
Kitbull,,PG (Mild Thematic Elements),"Drama, 
                        
                        Animation",English,Rosana Sullivan,Kathryn Hendrickson,Rosana Sullivan,,"Mar 25, 2021",,9m,,,Scope (2.35:1)
